1.195238095,2.3
2.715646259,2.4
4.339002268,3.1
5.882902494,3.2
7.795102041,3.3
9.562857143,3.4
11.386938776,4.1
12.979591837,4.2
14.813650794,4.3
16.403083900,4.4
18.181133787,5.1
19.834920635,5.2
22.027074830,5.3
24.182494331,5.4
26.107029478,6.1
27.786848073,6.2
29.970748299,6.3
31.763174603,6.4
33.619002268,7.1
35.291065760,7.2
36.843038549,7.3
38.517913832,7.4
40.579002268,8.1
42.123129252,8.2
43.930884354,8.3
45.770975057,8.4
47.370657596,9.1
49.154829932,9.2
51.275464853,9.3
53.675238095,9.4
56.091020408,10.1
57.675238095,10.2
59.619092971,10.3
61.299183673,10.4
62.835102041,11.1
64.298911565,11.2
65.879229025,12.2
67.758866213,12.3
70.055147392,12.4
71.847029478,13.1
73.279455782,13.2
74.855192744,13.3
76.231156463,13.4
77.519319728,14.1
78.775464853,14.2
80.367392290,14.3
81.967346939,14.4
83.551247166,15.1
87.056598639,15.2
89.153106576,15.3
90.948208617,15.4
92.816734694,16.1
94.328616780,16.2
95.952653061,16.3
97.920952381,16.4
99.384716553,17.1
101.032789116,17.2
103.306757370,17.3
105.080453515,17.4
106.832743764,18.1
109.032607710,18.2
111.664716553,18.3
114.648571429,18.4
116.448072562,19.1
118.063446712,19.2
119.470022676,19.3
120.797414966,19.4
122.133197279,20.1
123.525714286,20.2
125.736371882,20.3
127.589478458,20.4
129.101360544,21.1
130.277052154,21.2
131.869433107,21.3
133.103446712,21.4
134.389251701,22.1
135.940861678,22.2
137.861995465,22.3
139.525215420,22.4
141.301269841,23.1
144.612244898,23.2
146.700272109,23.3
148.252154195,23.4
150.068299320,24.1
151.572108844,24.2
152.980453515,24.3
154.868390023,24.4
156.508571429,25.1
158.460272109,25.2
160.371791383,27.2
162.228163265,27.3
163.813287982,27.4
165.891836735,28.1
168.651746032,28.2
170.699727891,28.3
172.236054422,28.4
174.115873016,29.1
175.963900227,29.2
177.459909297,29.3
179.068979592,29.4
180.655147392,30.1
182.517641723,30.2
184.739727891,30.3
186.563945578,30.4
188.219954649,31.1
190.491746032,31.2
191.949931973,31.3
194.411836735,31.4
197.059954649,32.1
198.892018141,32.2
201.420136054,32.3
203.244852608,32.4
204.883945578,33.1
206.763854875,33.2
209.043990930,33.3
210.396099773,33.4
211.789523810,34.1
213.357188209,34.2
214.851927438,34.3
216.675600907,34.4
218.227845805,35.1
219.413106576,35.2
220.636054422,35.3
222.067845805,35.4
224.084943311,36.1
225.643401361,36.3
226.827256236,36.4
229.240816327,37.1
245.890929705,37.3
247.763038549,37.4
249.362947846,38.1
251.131065760,38.2
253.163083900,38.3
255.232698413,39.2
257.754195011,39.3
