1.806643991,1.1
3.622766440,1.2
5.839070295,1.3
7.303401361,1.4
8.969637188,2.1
10.814376417,2.2
12.527188209,2.3
14.350952381,2.4
16.097913832,3.1
17.809659864,3.2
19.710748299,3.3
21.409818594,3.4
23.393356009,4.1
26.239115646,4.2
28.224013605,4.3
29.767006803,4.4
31.638979592,5.1
33.643106576,5.2
35.654920635,5.3
37.214920635,5.4
38.778390023,6.1
40.513401361,7.3
43.957913832,7.4
45.741859410,8.1
47.746553288,8.2
50.693718821,8.3
52.825079365,8.4
54.262199546,9.1
56.137505669,9.2
59.021972789,9.3
61.694308390,9.4
63.286099773,10.1
65.295419501,10.2
66.813764172,10.3
68.701133787,10.4
70.533582766,11.1
72.390272109,11.2
75.101859410,11.3
78.008231293,11.4
79.598117914,12.1
81.302517007,12.2
82.983696145,12.3
84.533786848,12.4
86.277641723,13.1
88.048752834,13.2
89.965986395,13.3
91.665782313,13.4
93.917913832,14.1
98.467052154,14.2
101.211451247,14.3
103.544603175,14.4
105.085034014,15.1
106.680634921,15.2
108.288684807,15.3
111.615124717,15.4
113.407619048,16.1
115.303582766,16.2
117.959637188,16.3
119.815600907,16.4
121.407573696,17.1
123.327052154,17.2
126.114421769,17.3
128.863696145,17.4
130.455668934,18.1
132.216054422,18.2
133.687505669,18.3
135.751655329,18.4
137.351927438,19.1
139.366689342,19.2
141.695759637,19.3
144.713832200,20.3
146.265600907,20.4
147.893900227,21.1
149.537596372,21.2
151.057732426,21.3
153.082358277,21.4
154.548548753,22.1
156.369387755,22.2
158.297414966,22.3
160.441995465,22.4
165.488321995,23.1
168.313990930,23.2
170.683628118,23.3
172.402834467,23.4
174.021678005,24.1
175.785079365,24.4
179.160634921,25.1
180.840317460,25.2
182.811337868,25.3
185.608571429,25.4
187.702562358,26.1
189.201224490,26.2
191.232403628,26.3
194.201428571,26.4
196.840544218,27.1
198.368435374,27.2
199.897029478,27.3
201.536326531,27.4
203.728095238,28.1
205.640453515,28.2
207.048503401,28.3
208.931360544,28.4
210.848911565,29.1
212.512380952,29.2
214.248480726,29.3
215.560249433,29.4
217.176507937,30.1
219.280634921,30.2
222.044081633,30.3
224.096462585,30.4
226.472834467,31.1
227.979092971,31.2
229.480634921,31.3
231.744603175,31.4
234.184444444,32.1
235.400408163,32.2
236.808526077,32.3
238.680453515,32.4
239.924013605,33.1
241.208662132,33.2
242.481201814,33.3
243.648503401,33.4
245.288458050,34.1
247.120498866,34.2
249.974399093,34.3
264.625396825,34.4
266.962585034,35.1
268.961927438,35.2
271.097414966,35.3
273.585192744,35.4
275.704716553,36.3
278.317845805,36.4
