1.71877551,1,110-1
3.080204082,2,110-2
4.699977324,3,110-3
5.916190476,4,110-4
7.241791383,5,110-5
8.445464853,6,110-6
9.710385488,7,110-7
10.9822449,8,110-8
12.20342404,9,110-9
13.4370068,10,110-10
14.69022676,11,110-11
15.97188209,12,110-12
17.22160998,13,110-13
18.55167801,14,110-14
19.98578231,15,110-15
21.31997732,16,111-1
22.59539683,17,111-2
23.90770975,18,111-3
25.30358277,19,111-4
26.48873016,20,111-5
27.74464853,21,111-6
29.0399093,22,111-7
30.29800454,23,111-8
31.58761905,24,111-9
32.92798186,25,111-10
34.18156463,26,111-11
35.52814059,27,111-12
36.81081633,28,112-1
38.23734694,29,112-2
39.49639456,30,112-3
40.80723356,31,112-4
42.14764172,32,112-5
43.44945578,33,112-6
44.70768708,34,112-7
46.01365079,35,112-8
47.27020408,36,112-9
48.5259864,37,112-10
49.77843537,38,112-11
51.1115873,39,113-1
52.41106576,40,113-2
53.7699093,41,113-3
55.22043084,42,113-4
56.50975057,43,113-5
57.81349206,44,113-6
59.14462585,45,114-1
60.49886621,46,114-2
61.7614966,47,114-3
63.09088435,48,114-4
64.44997732,49,114-5
65.7668254,50,114-6
67.06321996,51,114-7
68.37657596,52,114-8
69.66834467,53,114-9
70.96791383,54,115-1
72.21852608,55,115-2
73.47698413,56,115-3
74.76943311,57,115-4
76.08049887,58,115-5
77.37027211,59,115-6
78.69126984,60,116-1
79.96834467,61,116-2
81.30619048,62,116-3
82.54748299,63,116-4
83.83641723,64,116-5
85.15326531,65,116-6
86.42473923,66,116-7
87.70641723,67,116-8
89.01081633,68,117-1
90.22133787,69,117-2
91.52324263,70,117-3
92.81247166,71,117-4
94.08247166,72,117-5
95.36120181,73,117-6
96.64090703,74,117-7
97.90571429,75,117-8
99.17521542,76,117-9
100.4421088,77,118-1
101.7527438,78,118-2
103.0563265,79,118-3
104.4370748,80,118-4
105.7190249,81,118-5
107.0595692,82,118-6
108.3946939,83,118-7
109.7521995,84,118-8
111.0809524,85,118-9
112.4027211,86,119-1
113.6760317,87,119-2
114.9745125,88,119-3
116.2928345,89,119-4
117.6036054,90,119-5
118.8212698,91,119-6
120.1345351,92,120-1
121.4264853,93,120-2
122.6856916,94,120-3
123.9282086,95,120-4
125.182585,96,120-5
126.4210431,97,120-6
127.6703628,98,120-7
128.8806349,99,120-8
130.2101361,100,121-1
131.4612925,101,121-2
132.7285941,102,121-3
134.0420635,103,121-4
135.3024943,104,121-5
136.554195,105,121-6
137.8309524,106,121-7
139.044263,107,121-8
140.3179819,108,121-9
141.5779819,109,121-10
142.8314739,110,121-11
144.120839,111,121-12
145.426644,112,121-13
146.7371202,113,121-14
147.9719501,114,122-1
149.2005896,115,122-2
150.5026984,116,122-3
151.7816327,117,122-4
153.0870295,118,122-5
154.3454649,119,122-6
155.7589342,120,122-7
157.0678685,121,122-8
158.3104989,122,122-9
159.6123356,123,122-10
160.9281179,124,123-1
162.2285941,125,123-2
163.5010204,126,123-3
164.834059,127,123-4
166.1924263,128,123-5
167.4972789,129,123-6
168.8007937,130,123-7
170.1245351,131,123-8
171.4488662,132,123-9
172.7835601,133,123-10
174.054195,134,123-11
175.384059,135,123-12
176.7093197,136,123-13
178.0109977,137,123-14
179.274127,138,123-15
180.6362812,139,124-1
181.9292744,140,124-2
183.2718821,141,124-3
184.6146712,142,124-4
185.9583447,143,124-5
187.2944218,144,124-6
188.6443764,145,124-7
190.0112245,146,124-8
191.406576,147,125-1
192.7572789,148,125-2
194.1148073,149,125-3
195.427483,150,125-4
196.7723129,151,125-5
198.1508844,152,125-6
199.4475737,153,125-7
200.8140816,154,125-8
202.2068934,155,126-1
203.54,156,126-2
204.899161,157,126-3
206.1774603,158,126-4
207.5126077,159,126-5
208.8262132,160,126-6
210.2304082,161,127-1
211.5265533,162,127-2
212.870907,163,127-3
214.1813152,164,127-4
215.524263,165,127-5
216.8795692,166,127-6
218.2222222,167,127-7
219.5001134,168,127-8
220.8495238,169,127-9
222.150907,170,127-10
223.492381,171,128-1
224.8038776,172,128-2
226.1506576,173,128-3
227.551746,174,128-4
228.8947846,175,128-5
230.2301361,176,128-6
231.565805,177,128-7
232.9244898,178,128-8
234.2733333,179,128-9
235.5321995,180,129-1
236.8433333,181,129-2
238.1473923,182,129-3
239.4965306,183,129-4
240.8432426,184,129-5
242.1586621,185,129-6
243.4685941,186,129-7
244.8511338,187,130-1
246.1380726,188,130-2
247.4453968,189,130-3
248.7654195,190,130-4
250.1145578,191,130-5
251.4306349,192,130-6
252.7673923,193,130-7
254.0510431,194,130-8
255.4288889,195,130-9
256.7909524,196,130-10
258.0227211,197,130-11
259.3297052,198,130-12
260.6451927,199,131-1
261.9952834,200,131-2
263.2521542,201,131-3
264.6290249,202,131-4
265.9485034,203,131-5
267.2960544,204,131-6
268.7112018,205,131-7
270.0573696,206,131-8
271.4260544,207,131-9
272.7501587,208,131-10
274.0698866,209,131-11
275.4045351,210,132-1
276.8141043,211,132-2
278.1287302,212,132-3
279.480771,213,132-4
280.8150567,214,132-5
282.2284807,215,132-6
283.5882993,216,132-7
284.9383447,217,132-8
286.2807483,218,132-9
287.6360091,219,132-10
288.9805896,220,132-11
290.335941,221,132-12
291.7053061,222,132-13
293.046644,223,132-14
294.3462585,224,132-15
295.7081406,225,132-16
297.0202268,226,132-17
298.3656689,227,132-18
299.7791837,228,132-19
301.0950113,229,132-20
302.3784127,230,132-21
303.7279819,231,132-22
305.0810431,232,132-23
306.4553061,233,132-24
307.7952834,234,132-25
309.1279365,235,132-26
